"","CECC_record_number","crim_act"
"517","2015-00376","LCAP_MAX"
"448","2014-00431","LCAP_MIN"
"52","2004-04066","HCAP_MAX"
"291","2012-00016","LCAP_MIN"
"616","2017-00395","LCAP_MIN"
"174","2009-00126","LCAP_MAX"
"742","2018-00582","LCAP_MIN"
"620","2018-00017","LCAP_MIN"
"428","2014-00254","HCAP_MAX"
"799","2019-00213","LCAP_MIN"
"908","2020-00099","LCAP_MIN"
"369","2013-00351","LCAP_MIN"
"628","2018-00065","LCAP_MIN"
"145","2008-00345","LCAP_MIN"
"313","2012-00265","LCAP_MIN"
"312","2012-00261","LCAP_MAX"
"101","2005-00198","LCAP_MIN"
"895","2020-00063","LCAP_MIN"
"223","2010-00014","LCAP_MIN"
